"filename", "language", "C", "nasm", "Makefile", "C++", "comment", "blank", "total"
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\Makefile", "Makefile", 0, 0, 175, 0, 11, 49, 235
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\boot\boot.asm", "nasm", 0, 197, 0, 0, 20, 15, 232
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\boot\include\fat12hdr.inc", "nasm", 0, 24, 0, 0, 9, 1, 34
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\boot\include\lib.inc", "nasm", 0, 116, 0, 0, 20, 12, 148
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\boot\include\loader.inc", "nasm", 0, 10, 0, 0, 4, 1, 15
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\boot\include\pm.inc", "nasm", 0, 38, 0, 0, 18, 7, 63
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\boot\loader.asm", "nasm", 0, 404, 0, 0, 51, 24, 479
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\fs\link.c", "C", 130, 0, 0, 0, 66, 20, 216
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\fs\main.c", "C", 259, 0, 0, 0, 154, 48, 461
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\fs\misc.c", "C", 63, 0, 0, 0, 52, 12, 127
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\fs\open.c", "C", 216, 0, 0, 0, 121, 53, 390
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\fs\read_write.c", "C", 93, 0, 0, 0, 22, 15, 130
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\config.h", "C++", 0, 0, 0, 4, 0, 0, 4
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\console.h", "C++", 0, 0, 0, 17, 0, 3, 20
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\const.h", "C++", 0, 0, 0, 139, 45, 23, 207
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\elf.h", "C++", 0, 0, 0, 48, 1, 5, 54
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\fs.h", "C++", 0, 0, 0, 50, 65, 12, 127
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\global.h", "C++", 0, 0, 0, 33, 1, 1, 35
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\hd.h", "C++", 0, 0, 0, 58, 54, 18, 130
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\keyboard.h", "C++", 0, 0, 0, 95, 17, 13, 125
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\keymap.h", "C++", 0, 0, 0, 133, 7, 6, 146
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\process.h", "C++", 0, 0, 0, 100, 10, 4, 114
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\protect.h", "C++", 0, 0, 0, 128, 18, 17, 163
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\proto.h", "C++", 0, 0, 0, 72, 2, 2, 76
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\sconst.inc", "nasm", 0, 32, 0, 0, 5, 2, 39
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\stdio.h", "C++", 0, 0, 0, 12, 1, 1, 14
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\string.h", "C++", 0, 0, 0, 7, 0, 0, 7
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\tty.h", "C++", 0, 0, 0, 18, 2, 3, 23
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\include\type.h", "C++", 0, 0, 0, 12, 0, 0, 12
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\clock.c", "C", 37, 0, 0, 0, 16, 5, 58
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\console.c", "C", 105, 0, 0, 0, 29, 9, 143
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\global.c", "C", 39, 0, 0, 0, 24, 8, 71
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\hd.c", "C", 270, 0, 0, 0, 112, 19, 401
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\i8259A.c", "C", 37, 0, 0, 0, 22, 8, 67
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\kernel.asm", "nasm", 0, 251, 0, 0, 78, 20, 349
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\keyboard.c", "C", 269, 0, 0, 0, 62, 17, 348
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\main.c", "C", 174, 0, 0, 0, 40, 40, 254
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\printf.c", "C", 32, 0, 0, 0, 15, 5, 52
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\process.c", "C", 303, 0, 0, 0, 52, 13, 368
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\protect.c", "C", 165, 0, 0, 0, 28, 9, 202
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\start.c", "C", 29, 0, 0, 0, 8, 1, 38
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\syscall.asm", "nasm", 0, 20, 0, 0, 4, 5, 29
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\systask.c", "C", 30, 0, 0, 0, 3, 1, 34
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\tty.c", "C", 231, 0, 0, 0, 120, 26, 377
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\kernel\vsprintf.c", "C", 102, 0, 0, 0, 14, 15, 131
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\close.c", "C", 21, 0, 0, 0, 11, 3, 35
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\fork.c", "C", 22, 0, 0, 0, 15, 3, 40
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\klib.c", "C", 114, 0, 0, 0, 48, 16, 178
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\kliba.asm", "nasm", 0, 178, 0, 0, 42, 12, 232
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\misc.c", "C", 27, 0, 0, 0, 23, 5, 55
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\open.c", "C", 24, 0, 0, 0, 14, 5, 43
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\read.c", "C", 23, 0, 0, 0, 14, 3, 40
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\string.asm", "nasm", 0, 83, 0, 0, 14, 5, 102
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\unlink.c", "C", 22, 0, 0, 0, 11, 4, 37
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十章 内存管理\01 fork一个子进程\lib\write.c", "C", 23, 0, 0, 0, 14, 3, 40
"Total", "-", 2860, 1353, 175, 926, 1609, 627, 7550